"","Intercept::Est","Intercept::SE","Intercept::t.val","Intercept::pval","TreatmentTreatment :Est","TreatmentTreatment :SE","TreatmentTreatment :t.val","TreatmentTreatment :pval","Time_PointSummer:Est","Time_PointSummer:SE","Time_PointSummer:t.val","Time_PointSummer:pval","TreatmentTreatment :Time_PointSummer:Est","TreatmentTreatment :Time_PointSummer:SE","TreatmentTreatment :Time_PointSummer:t.val","TreatmentTreatment :Time_PointSummer:pval","Intercept::pval.holm","TreatmentTreatment :pval.holm","Time_PointSummer:pval.holm","TreatmentTreatment :Time_PointSummer:pval.holm"
" g__KD3-93",-3.22033514039965,1.05351659477073,-3.07105077081422,0.0206949059040907,1.07994402802201,1.48989745650989,0.736524937957925,0.449711626318269,-0.231411579520044,1.36008407550006,-0.183452206300534,0.538142439762785,-0.783401280022275,1.93713954923563,-0.410285455453898,0.499362197339853,0.612327726799919,1,0.999475058346919,1
" g__CWT_CU03-E12",-1.45692643078967,1.26831405651794,-1.13630883175215,0.330470191812336,0.550667216038188,1.79366694007611,0.31293614325413,0.609440490939105,1.69058475571897,1.63738640621825,1.04148338306318,0.359689122028701,-0.870164207477443,2.33209550938973,-0.376778572224718,0.628934709452467,1,1,1,1
" g__S15-21",-3.132931224669,1.12237051106879,-2.81357433630057,0.0300767367740624,0.614425591060311,1.58727159876111,0.389648625721792,0.535164184570327,0.0636154856275502,1.44897409921458,0.055566990678011,0.54247131915605,-0.651913886490247,2.06374376699811,-0.331480953203481,0.511111967727756,0.710126269766285,1,1,1
" g__37-13",-0.988719329268271,1.18527652905424,-0.814141779452156,0.466158177959039,1.42448330195185,1.67623414255101,0.863498669670055,0.43035141632807,1.69481736878186,1.53018541922586,1.11601468597639,0.329731986723945,-1.7553328866967,2.17941136628357,-0.814155391900167,0.449681883023498,1,1,1,1
" o__Chitinophagales",-3.27984761698655,1.11591924080798,-2.95841832819058,0.0257120085950415,1.91299690805159,1.57814812486374,1.23182245935974,0.325994406658381,0.210583469196272,1.44064554512058,0.141208751051559,0.545264286916702,-1.25729705041298,2.0518815800833,-0.618209158875558,0.498017749981212,0.662627785236465,0.992933044009529,1,0.999768209316942
" g__Terrimonas",-1.32420332231688,1.22817523125369,-1.07172633046243,0.350639709453187,0.119193944521827,1.73690206900967,0.0721010932898049,0.61228426165096,-1.59378231566717,1.58556740562332,-1.00819630839225,0.390046405679193,0.717203631317437,2.25829078123909,0.316357159255942,0.612719837252783,1,1,0.996045408776406,1
" g__Puia",4.50483787458088,0.823572782069691,5.59428279771631,8.30817518158909e-05,0.920115331133423,1.1647077980043,0.831428667863163,0.426145077723759,0.660631671199034,1.06322788978187,0.631858385165449,0.534384261126222,-0.65419484350131,1.51433343882771,-0.44090320902537,0.651974326411424,0.0167576040281738,1,1,1
" g__Dinghuibacter",-3.58800062148597,1.06742418249942,-3.38112156093335,0.0100683270917551,1.37911677390418,1.5095657556957,0.920904855995739,0.423661421288837,0.147593245938703,1.37803869405311,0.0941826041921677,0.511613193519352,-1.26241029282044,1.96271194017607,-0.646054407832034,0.455667962665006,0.470951346256745,0.99950378549614,1,1
" f__Chitinophagaceae",4.76522022833536,0.915570418529504,5.32954970437817,3.76498337592982e-05,-1.69769067175719,1.29481210319204,-1.31191620127456,0.218111726561872,-2.19596798817558,1.18199632774831,-1.87844046737249,0.0785899265322152,2.91698641321375,1.68349286252078,1.75031359382,0.103057935358535,0.00929854055107849,1,1,1
" g__Sediminibacterium",-1.87388516070489,1.15778585072042,-1.60835537081279,0.1754301315071,-1.0901674061146,1.63735645241249,-0.686921998411855,0.495528188167619,-0.670268496340432,1.49469510610492,-0.461104900503023,0.553610862477666,0.30989471395095,2.12886324914894,0.154310693199378,0.571703200566234,0.979502119328323,0.99374326070226,1,1
" g__Heliimonas",-3.00209962553323,1.07939534495191,-2.78605886157312,0.0308462352164565,-0.0872776459851455,1.52649553599337,-0.0742184040131134,0.561970321850615,-0.762723921586737,1.39349339832418,-0.575790133851672,0.491409546084237,0.422753078809629,1.98472375503702,0.220170969426889,0.550546001496872,0.735790164384806,0.99256422755401,0.993860937350084,0.992386071757127
" g__Ferruginibacter",-2.58155722352644,1.17983659881371,-2.20401737860613,0.0788466765027231,-0.408537655429004,1.6685409194265,-0.245876846623466,0.538842977345099,0.296481417798393,1.52316249948384,0.213384653384706,0.573804906796923,0.218045326922377,2.16940876730573,0.0970335520922225,0.547566095880698,0.890902761634455,1,1,1
" g__Edaphobaculum",-1.2709761075125,1.29001928378352,-0.962376703226214,0.398632780851808,1.70632201628452,1.82436276684949,0.938732978074606,0.413637322853858,1.74679984804687,1.66540773412667,1.05517733499998,0.366741993721634,-1.50634374744695,2.37200570574545,-0.63133937241952,0.544390511274878,1,1,1,1
" f__Saprospiraceae",-3.76302463875967,1.06597047973613,-3.59042502913573,0.00958454154008046,0.713518338482839,1.50750990953219,0.480463312810859,0.513490077898542,0.0444649861029553,1.37616197185559,0.0375682053887922,0.486609240105621,0.413349963135612,1.96003896366143,0.233876815753164,0.516882644378997,0.417114268617544,1,1,1
